state;county;lynchings
Alabama;Baldwin;1
Alabama;Autauga;4
Alabama;Baldwin;1
Alabama;Barbour;6
Alabama;Bibb;11
Alabama;Blount;3
Alabama;Bullock;3
Alabama;Butler;13
Alabama;Calhoun;3
Alabama;Chambers;2
Alabama;Cherokee;2
Alabama;Chilton;12
Alabama;Choctaw;7
Alabama;Clarke;6
Alabama;Clay;1
Alabama;Cleburne;2
Alabama;Coffee;3
Alabama;Colbert;11
Alabama;Coosa;2
Alabama;Covington;6
Alabama;Crenshaw;4
Alabama;Dale;2
Alabama;Dallas;19
Alabama;Elmore;14
Alabama;Etowah;1
Alabama;Franklin;2
Alabama;Geneva;2
Alabama;Hale;1
Alabama;Henry;13
Alabama;Houston;8
Alabama;Jackson;3
Alabama;Jefferson;30
Alabama;Lamar;5
Alabama;Lauderdale;3
Alabama;Lawrence;1
Alabama;Lee;4
Alabama;Limestone;3
Alabama;Lowndes;16
Alabama;Macon;1
Alabama;Madison;10
Alabama;Marengo;4
Alabama;Marion;1
Alabama;Mobile;7
Alabama;Monroe;17
Alabama;Montgomery;12
Alabama;Morgan;3
Alabama;Perry;1
Alabama;Pickens;14
Alabama;Pike;4
Alabama;Russell;5
Alabama;Shelby;9
Alabama;St. Clair;7
Alabama;Sumter;8
Alabama;Talladega;4
Alabama;Tallapoosa;4
Alabama;Tuscaloosa;10
Alabama;Walker;4
Alabama;Washington;3
Alabama;Wilcox;4
Arkansas;Arkansas;18
Arkansas;Ashley;10
Arkansas;Boone;2
Arkansas;Bradley;4
Arkansas;Calhoun;10
Arkansas;Chicot;3
Arkansas;Clark;6
Arkansas;Cleveland;3
Arkansas;Columbia;3
Arkansas;Conway;4
Arkansas;Craighead;5
Arkansas;Crittenden;8
Arkansas;Cross;2
Arkansas;Desha;9
Arkansas;Drew;8
Arkansas;Faulkner;2
Arkansas;Garland;3
Arkansas;Grant;2
Arkansas;Hempstead;6
Arkansas;Hot Spring;1
Arkansas;Howard;4
Arkansas;Jackson;3
Arkansas;Jefferson;7
Arkansas;Johnson;2
Arkansas;Lafayette;6
Arkansas;Lee;15
Arkansas;Lincoln;6
Arkansas;Little River;11
Arkansas;Logan;1
Arkansas;Lonoke;11
Arkansas;Miller;6
Arkansas;Mississippi;7
Arkansas;Monroe;12
Arkansas;Nevada;2
Arkansas;Ouachita;11
Arkansas;Phillips;245
Arkansas;Poinsett;2
Arkansas;Polk;1
Arkansas;Pope;2
Arkansas;Prairie;2
Arkansas;Pulaski;5
Arkansas;Sebastian;1
Arkansas;Sevier;5
Arkansas;St. Francis;6
Arkansas;Stone;1
Arkansas;Union;4
Arkansas;White;3
Arkansas;Woodruff;2
California;Kern;2
Colorado;Lincoln;1
Colorado;Otero;1
Colorado;Pueblo;1
Colorado;San Juan;1
Colorado;Ouray;1
Delaware;New Castle;1
Michigan;St. Claire;1
Minnesota;St. Louis;3
Montana;Cascade;1
Nebraska;Cherry;1
Nebraska;Douglas;2
Nebraska;Otoe;2
New Jersey;Monmouth;1
New York;Orange;1
North Dakota;Grand Forks;1
Oregon;Coos;1
Pennsylvania;Chester;1
Pennsylvania;Monroe;1
South Dakota;Meade;1
Utah;Carbon;1
WashingtonDC;WashingtonDC;3
Wyoming;Albany;1
Wyoming;Goshen;1
Wyoming;Sweetwater;2
Florida;Alachua;18
Florida;Bradford;5
Florida;Calhoun;4
Florida;Clay;1
Florida;DeSoto;3
Florida;Franklin;2
Florida;Hardee;1
Florida;Hillsborough;5
Florida;Jefferson;1
Florida;Lee;2
Florida;Liberty;1
Florida;Marion;19
Florida;Palm Beach;2
Florida;Polk;20
Florida;Seminole;2
Florida;Suwannee;12
Florida;Baker;7
Florida;Brevard;1
Florida;Charlotte;1
Florida;Collier;1
Florida;Duval;7
Florida;Gadsden;4
Florida;Hendry;1
Florida;Holmes;7
Florida;Bay;2
Florida;Broward;1
Florida;Citrus;7
Florida;Columbia;20
Florida;Escambia;6
Florida;Hamilton;6
Florida;Hernando;13
Florida;Jackson;9
Florida;Lake;4
Florida;Levy;8
Florida;Manatee;6
Florida;Orange;33
Florida;Pinellas;2
Florida;Santa Rosa;3
Florida;Sumter;3
Florida;Volusia;5
Florida;Lafayette;13
Florida;Leon;4
Florida;Madison;14
Florida;Miami-Dade;3
Florida;Pasco;6
Florida;Putnam;3
Florida;St. Johns;1
Florida;Taylor;15
                    ;;
Georgia;Appling;3
Georgia;Baker;10
Georgia;Baldwin;2
Georgia;Barrow;1
Georgia;Bartow;3
Georgia;Bibb;7
Georgia;Bleckley;10
Georgia;Brantley;2
Georgia;Brooks;20
Georgia;Bryan;3
Georgia;Bulloch;9
Georgia;Burke;3
Georgia;Butts;2
Georgia;Calhoun;9
Georgia;Camden;2
Georgia;Candler;1
Georgia;Carroll;2
Georgia;Catoosa;2
Georgia;Chatham;2
Georgia;Chattahoochee;1
Georgia;Chattooga;3
Georgia;Clarke;1
Georgia;Clay;5
Georgia;Clayton;3
Georgia;Clinch;2
Georgia;Cobb;1
Georgia;Coffee;8
Georgia;Colquitt;7
Georgia;Columbia;5
Georgia;Cook;1
Georgia;Coweta;5
Georgia;Crawford;1
Georgia;Crisp;6
Georgia;Dade;2
Georgia;Decatur;10
Georgia;DeKalb;4
Georgia;Dodge;9
Georgia;Dooly;8
Georgia;Dougherty;2
Georgia;Douglas;1
Georgia;Early;24
Georgia;Echols;4
Georgia;Effingham;3
Georgia;Elbert;2
Georgia;Emanuel;8
Georgia;Fayette;5
Georgia;Floyd;4
Georgia;Forsyth;1
Georgia;Franklin;1
Georgia;Fulton;36
Georgia;Glascock;1
Georgia;Glynn;3
Georgia;Gordon;1
Georgia;Grady;2
Georgia;Greene;2
Georgia;Gwinnett;3
Georgia;Habersham;6
Georgia;Hancock;2
Georgia;Haralson;1
Georgia;Harris;7
Georgia;Henry;1
Georgia;Houston;4
Georgia;Irwin;5
Georgia;Jackson;1
Georgia;Jasper;10
Georgia;Jefferson;3
Georgia;Jenkins;7
Georgia;Johnson;6
Georgia;Jones;5
Georgia;Lamar;3
Georgia;Laurens;6
Georgia;Lee;9
Georgia;Liberty;4
Georgia;Lincoln;6
Georgia;Lowndes;4
Georgia;Macon;2
Georgia;Madison;5
Georgia;Marion;3
Georgia;McDuffie;2
Georgia;McIntosh;3
Georgia;Meriwether;5
Georgia;Miller;9
Georgia;Mitchell;11
Georgia;Monroe;6
Georgia;Montgomery;10
Georgia;Morgan;2
Georgia;Murray;2
Georgia;Muscogee;6
Georgia;Newton;1
Georgia;Oconee;11
Georgia;Oglethorpe;4
Georgia;Peach;3
Georgia;Pierce;6
Georgia;Pike;3
Georgia;Polk;2
Georgia;Pulaski;3
Georgia;Quitman;1
Georgia;Randolph;7
Georgia;Richmond;2
Georgia;Schley;4
Georgia;Screven;3
Georgia;Seminole;3
Georgia;Spalding;7
Georgia;Stephens;1
Georgia;Stewart;5
Georgia;Sumter;2
Georgia;Talbot;6
Georgia;Taliaferro;2
Georgia;Tattnall;5
Georgia;Taylor;1
Georgia;Telfair;1
Georgia;Thomas;8
Georgia;Tift;4
Georgia;Toombs;3
Georgia;Troup;3
Georgia;Turner;2
Georgia;Twiggs;5
Georgia;Walker;1
Georgia;Walton;9
Georgia;Ware;5
Georgia;Warren;4
Georgia;Washington;2
Georgia;Wayne;9
Georgia;Webster;1
Georgia;Wheeler;2
Georgia;Whitfield;5
Georgia;Wilcox;6
Georgia;Wilkes;4
Georgia;Wilkinson;4
Illinois;Alexander;3
Illinois;Cook;1
Illinois;Edgar;1
Illinois;Fulton;1
Illinois;Lawrence;1
Illinois;Macon;1
Illinois;Marshall;1
Illinois;Perry;1
Illinois;Pulaski;1
Illinois;Sangamon;2
Illinois;Scott;1
Illinois;St. Clair;40
Illinois;Union;1
Illinois;Vermilion;1
Indiana;Clark;1
Indiana;Grant;2
Indiana;Henry;1
Indiana;Johnson;1
Indiana;Knox;1
Indiana;Kosciusko;1
Indiana;Marion;1
Indiana;Posey;5
Indiana;Pulaski;1
Indiana;Spencer;3
Indiana;Sullivan;1
Indiana;Vigo;1
Kansas;Brown;2
Kansas;Cherokee;1
Kansas;Crawford;4
Kansas;Douglas;3
Kansas;Labette;2
Kansas;Leavenworth;3
Kansas;Miami;1
Kansas;Pawnee;1
Kansas;Saline;1
Kansas;Shawnee;1
Kentucky;Adair;1
Kentucky;Allen;2
Kentucky;Ballard;3
Kentucky;Barren;1
Kentucky;Boone;5
Kentucky;Bourbon;2
Kentucky;Breathitt;1
Kentucky;Breckinridge;3
Kentucky;Caldwell;2
Kentucky;Carlisle;1
Kentucky;Christian;3
Kentucky;Clark;2
Kentucky;Crittenden;1
Kentucky;Cumberland;1
Kentucky;Daviess;3
Kentucky;Fayette;4
Kentucky;Fleming;2
Kentucky;Floyd;1
Kentucky;Franklin;2
Kentucky;Fulton;20
Kentucky;Gallatin;1
Kentucky;Graves;6
Kentucky;Grayson;1
Kentucky;Green;1
Kentucky;Hancock;1
Kentucky;Hardin;3
Kentucky;Harlan;1
Kentucky;Harrison;2
Kentucky;Hart;2
Kentucky;Henderson;4
Kentucky;Henry;4
Kentucky;Hickman;1
Kentucky;Hopkins;2
Kentucky;Jessamine;2
Kentucky;Knott;1
Kentucky;Knox;1
Kentucky;LaRue;1
Kentucky;Lincoln;1
Kentucky;Livingston;1
Kentucky;Logan;12
Kentucky;Marion;2
Kentucky;Marshall;3
Kentucky;Mason;4
Kentucky;McCracken;5
Kentucky;McLean;1
Kentucky;Meade;3
Kentucky;Metcalfe;1
Kentucky;Montgomery;1
Kentucky;Nicholas;3
Kentucky;Ohio;1
Kentucky;Oldham;1
Kentucky;Owen;1
Kentucky;Scott;1
Kentucky;Shelby;6
Kentucky;Simpson;3
Kentucky;Spencer;1
Kentucky;Todd;7
Kentucky;Trigg;3
Kentucky;Union;3
Kentucky;Warren;4
Kentucky;Washington;2
Kentucky;Wayne;1
Kentucky;Webster;1
Kentucky;Whitley;1
Kentucky;Woodford;2
Louisiana;Allen;2
Louisiana;Ascension;1
Louisiana;Assumption;3
Louisiana;Avoyelles;4
Louisiana;Bienville;10
Louisiana;Bossier;26
Louisiana;Caddo;48
Louisiana;Calcasieu;4
Louisiana;Caldwell;5
Louisiana;Catahoula;8
Louisiana;Claiborne;10
Louisiana;Concordia;16
Louisiana;DeSoto;4
Louisiana;East Baton Rouge;2
Louisiana;East Feliciana;6
Louisiana;Evangeline;5
Louisiana;Franklin;6
Louisiana;Grant;6
Louisiana;Iberia;26
Louisiana;Iberville;9
Louisiana;Jackson;4
Louisiana;Jefferson;11
Louisiana;Jefferson Davis;3
Louisiana;Lafayette;6
Louisiana;Lafourche;52
Louisiana;Lincoln;8
Louisiana;Livingston;2
Louisiana;Madison;12
Louisiana;Morehouse;16
Louisiana;Natchitoches;2
Louisiana;Orleans;15
Louisiana;Ouachita;38
Louisiana;Plaquemines;1
Louisiana;Pointe Coupee;11
Louisiana;Rapides;10
Louisiana;Red River;2
Louisiana;Richland;13
Louisiana;Sabine;1
Louisiana;St. Bernard;3
Louisiana;St. Charles;3
Louisiana;St. Helena;3
Louisiana;St. James;6
Louisiana;St. John the Baptist;4
Louisiana;St. Landry;8
Louisiana;St. Martin;2
Louisiana;St. Mary;4
Louisiana;St. Tammany;8
Louisiana;Tangipahoa;24
Louisiana;Tensas;29
Louisiana;Union;5
Louisiana;Washington;12
Louisiana;Webster;9
Louisiana;West Baton Rouge;3
Louisiana;West Carroll;9
Louisiana;West Feliciana;7
Louisiana;Winn;1
Missouri;Barry;1
Missouri;Bates;1
Missouri;Boone;2
Missouri;Buchanan;1
Missouri;Butler;2
Missouri;Callaway;4
Missouri;Cape Girardeau;1
Missouri;Clay;2
Missouri;Clinton;1
Missouri;Franklin;1
Missouri;Greene;3
Missouri;Howard;5
Missouri;Iron;1
Missouri;Jackson;1
Missouri;Jasper;1
Missouri;Lafayette;2
Missouri;Lawrence;3
Missouri;Macon;2
Missouri;Mississippi;4
Missouri;New Madrid;2
Missouri;Nodaway;1
Missouri;Pemiscot;3
Missouri;Pike;5
Missouri;Platte;1
Missouri;Ralls;1
Missouri;Randolph;3
Missouri;Ray;1
Missouri;Reynolds;1
Missouri;Saline;1
Missouri;Scott;1
Missouri;St. Louis;1
Missouri;Wayne;1
Maryland;Allegany;1
Maryland;Anne Arundel;4
Maryland;Baltimore;1
Maryland;Calvert;1
Maryland;Carroll;1
Maryland;Frederick;3
Maryland;Harford;1
Maryland;Howard;2
Maryland;Kent;1
Maryland;Montgomery;3
Maryland;Prince George’s;2
Maryland;Queen Anne’s;1
Maryland;Somerset;4
Maryland;St. Mary’s;1
Maryland;Wicomico;3
Michigan;St. Clair;1
Minnesota;St. Louis;3
Mississippi;Adams;3
Mississippi;Alcorn;5
Mississippi;Amite;14
Mississippi;Attala;5
Mississippi;Benton;3
Mississippi;Bolivar;13
Mississippi;Calhoun;2
Mississippi;Carroll;29
Mississippi;Chickasaw;6
Mississippi;Claiborne;4
Mississippi;Clarke;10
Mississippi;Clay;8
Mississippi;Coahoma;13
Mississippi;Copiah;10
Mississippi;DeSoto;10
Mississippi;Forrest;9
Mississippi;Franklin;13
Mississippi;George;2
Mississippi;Greene;1
Mississippi;Grenada;7
Mississippi;Hancock;2
Mississippi;Harrison;10
Mississippi;Hinds;22
Mississippi;Holmes;11
Mississippi;Humphreys;10
Mississippi;Issaquena;6
Mississippi;Itawamba;1
Mississippi;Jackson;8
Mississippi;Jefferson;4
Mississippi;Jefferson Davis;1
Mississippi;Jones;5
Mississippi;Kemper;24
Mississippi;Lafayette;7
Mississippi;Lamar;1
Mississippi;Lauderdale;16
Mississippi;Lawrence;6
Mississippi;Leake;2
Mississippi;Lee;2
Mississippi;Leflore;48
Mississippi;Lincoln;10
Mississippi;Lowndes;20
Mississippi;Madison;7
Mississippi;Marion;2
Mississippi;Marshall;4
Mississippi;Monroe;14
Mississippi;Montgomery;9
Mississippi;Neshoba;5
Mississippi;Newton;6
Mississippi;Noxubee;10
Mississippi;Oktibbeha;6
Mississippi;Panola;4
Mississippi;Pearl River;3
Mississippi;Perry;2
Mississippi;Pike;13
Mississippi;Pontotoc;1
Mississippi;Prentiss;1
Mississippi;Quitman;9
Mississippi;Rankin;9
Mississippi;Scott;13
Mississippi;Sharkey;6
Mississippi;Simpson;8
Mississippi;Smith;8
Mississippi;Stone;7
Mississippi;Sunflower;12
Mississippi;Tallahatchie;12
Mississippi;Tate;9
Mississippi;Tishomingo;4
Mississippi;Tunica;10
Mississippi;Union;1
Mississippi;Walthall;4
Mississippi;Warren;14
Mississippi;Washington;13
Mississippi;Wayne;1
Mississippi;Webster;2
Mississippi;Wilkinson;9
Mississippi;Winston;11
Mississippi;Yalobusha;4
Mississippi;Yazoo;18
North Carolina;Alamance;1
North Carolina;Anson;2
North Carolina;Avery;1
North Carolina;Beaufort;1
North Carolina;Bertie;2
North Carolina;Bladen;1
North Carolina;Buncombe;3
North Carolina;Burke;2
North Carolina;Cabarrus;2
North Carolina;Camden;1
North Carolina;Carteret;1
North Carolina;Caswell;1
North Carolina;Chatham;6
North Carolina;Cleveland;1
North Carolina;Craven;2
North Carolina;Davidson;1
North Carolina;Edgecombe;2
North Carolina;Franklin;3
North Carolina;Gaston;3
North Carolina;Granville;6
North Carolina;Greene;1
North Carolina;Guilford;1
North Carolina;Halifax;2
North Carolina;Haywood;1
North Carolina;Hertford;1
North Carolina;Iredell;3
North Carolina;Johnston;4
North Carolina;Jones;1
North Carolina;Lenoir;1
North Carolina;Macon;1
North Carolina;Mecklenburg;2
North Carolina;Moore;2
North Carolina;Nash;1
North Carolina;New Hanover;22
North Carolina;Northampton;1
North Carolina;Onslow;2
North Carolina;Orange;1
North Carolina;Pender;1
North Carolina;Person;1
North Carolina;Polk;1
North Carolina;Richmond;2
North Carolina;Rockingham;2
North Carolina;Rowan;6
North Carolina;Rutherford;1
North Carolina;Sampson;2
North Carolina;Scotland;1
North Carolina;Stokes;2
North Carolina;Union;3
North Carolina;Vance;2
North Carolina;Wake;1
North Carolina;Warren;2
North Carolina;Washington;3
North Carolina;Watauga;1
North Carolina;Wayne;2
North Carolina;Wilson;2
Ohio;Adams;1
Ohio;Clermont;1
Ohio;Erie;1
Ohio;Athens;1
Ohio;Coshocton;1
Ohio;Holmes;1
Ohio;Butler;2
Ohio;Crawford;1
Ohio;Lawrence;1
Ohio;Champaign;1
Ohio;Cuyahoga;1
Ohio;Logan;1
Ohio;Clark;1
Ohio;Darke;1
Oklahoma;Blaine;1
Oklahoma;Bryan;3
Oklahoma;Caddo;1
Oklahoma;Comanche;1
Oklahoma;Creek;1
Oklahoma;Garvin;2
Oklahoma;Grady;2
Oklahoma;Grant;1
Oklahoma;Hughes;2
Oklahoma;Latimer;1
Oklahoma;Lincoln;1
Oklahoma;Marshall;1
Oklahoma;McClain;1
Oklahoma;McCurtain;3
Oklahoma;McIntosh;2
Oklahoma;Nowata;2
Oklahoma;Okfuskee;2
Oklahoma;Oklahoma;3
Oklahoma;Okmulgee;1
Oklahoma;Osage;1
Oklahoma;Pawnee;1
Oklahoma;Pottawatomie;1
Oklahoma;Seminole;1
Oklahoma;Sequoyah;1
Oklahoma;Tulsa;36
Oklahoma;Wagoner;3
Oklahoma;Woodward;1
South Carolina;Abbeville;5
South Carolina;Aiken;13
South Carolina;Allendale;2
South Carolina;Anderson;5
South Carolina;Bamberg;4
South Carolina;Barnwell;15
South Carolina;Beaufort;1
South Carolina;Charleston;4
South Carolina;Cherokee;3
South Carolina;Chester;1
South Carolina;Chesterfield;2
South Carolina;Clarendon;4
South Carolina;Colleton;10
South Carolina;Dorchester;3
South Carolina;Edgefield;6
South Carolina;Fairfield;3
South Carolina;Florence;9
South Carolina;Georgetown;1
South Carolina;Greenville;4
South Carolina;Greenwood;15
South Carolina;Hampton;6
South Carolina;Kershaw;3
South Carolina;Lancaster;2
South Carolina;Laurens;11
South Carolina;Lexington;8
South Carolina;McCormick;1
South Carolina;Newberry;5
South Carolina;Oconee;5
South Carolina;Orangeburg;11
South Carolina;Pickens;4
South Carolina;Saluda;2
South Carolina;Spartanburg;2
South Carolina;Sumter;3
South Carolina;Union;4
South Carolina;Williamsburg;3
South Carolina;York;9
Tennessee;Bedford;5
Tennessee;Bledsoe;2
Tennessee;Campbell;3
Tennessee;Cannon;1
Tennessee;Carroll;4
Tennessee;Cheatham;1
Tennessee;Claiborne;3
Tennessee;Coffee;8
Tennessee;Crockett;6
Tennessee;Davidson;4
Tennessee;Decatur;2
Tennessee;Dickson;2
Tennessee;Dyer;7
Tennessee;Fayette;2
Tennessee;Franklin;3
Tennessee;Gibson;6
Tennessee;Giles;6
Tennessee;Hamilton;4
Tennessee;Hardeman;1
Tennessee;Hardin;2
Tennessee;Haywood;4
Tennessee;Henderson;3
Tennessee;Henry;2
Tennessee;Humphreys;1
Tennessee;Jefferson;1
Tennessee;Johnson;1
Tennessee;Knox;4
Tennessee;Lake;13
Tennessee;Lauderdale;8
Tennessee;Lawrence;1
Tennessee;Lewis;3
Tennessee;Lincoln;5
Tennessee;Loudon;1
Tennessee;Macon;1
Tennessee;Madison;3
Tennessee;Marshall;8
Tennessee;Maury;5
Tennessee;Meigs;1
Tennessee;Montgomery;1
Tennessee;Moore;8
Tennessee;Morgan;3
Tennessee;Obion;16
Tennessee;Putnam;2
Tennessee;Rhea;6
Tennessee;Roane;1
Tennessee;Robertson;11
Tennessee;Rutherford;4
Tennessee;Shelby;20
Tennessee;Smith;1
Tennessee;Stewart;3
Tennessee;Sullivan;1
Tennessee;Sumner;5
Tennessee;Tipton;3
Tennessee;Unicoi;1
Tennessee;Warren;1
Tennessee;Wayne;1
Tennessee;Weakley;6
Tennessee;Williamson;5
Tennessee;Wilson;1
Texas;Anderson;22
Texas;Angelina;2
Texas;Atascosa;1
Texas;Austin;2
Texas;Bastrop;2
Texas;Baylor;1
Texas;Bee;1
Texas;Bell;2
Texas;Bosque;2
Texas;Bowie;8
Texas;Brazoria;5
Texas;Brazos;6
Texas;Burleson;1
Texas;Burnet;1
Texas;Caldwell;3
Texas;Camp;1
Texas;Cass;9
Texas;Cherokee;2
Texas;Collin;1
Texas;Colorado;7
Texas;Comal;1
Texas;Comanche;2
Texas;Cooke;2
Texas;Coryell;1
Texas;Dallas;2
Texas;Delta;3
Texas;Denton;2
Texas;DeWitt;1
Texas;Ellis;1
Texas;Falls;7
Texas;Fannin;1
Texas;Fayette;1
Texas;Fort Bend;4
Texas;Freestone;9
Texas;Galveston;1
Texas;Grayson;2
Texas;Gregg;4
Texas;Grimes;9
Texas;Hardin;2
Texas;Harris;4
Texas;Harrison;14
Texas;Henderson;1
Texas;Hill;2
Texas;Hopkins;5
Texas;Houston;2
Texas;Hunt;3
Texas;Jasper;1
Texas;Jefferson;1
Texas;Karnes;1
Texas;Kaufman;2
Texas;La Salle;1
Texas;Lamar;7
Texas;Lavaca;3
Texas;Lee;1
Texas;Leon;2
Texas;Liberty;2
Texas;Limestone;4
Texas;Madison;3
Texas;Marion;4
Texas;Matagorda;1
Texas;McLennan;15
Texas;Milam;5
Texas;Montgomery;6
Texas;Morris;3
Texas;Nacogdoches;3
Texas;Navarro;5
Texas;Newton;3
Texas;Nueces;2
Texas;Orange;5
Texas;Panola;3
Texas;Polk;3
Texas;Red River;6
Texas;Reeves;1
Texas;Robertson;8
Texas;Rockwall;2
Texas;Runnels;1
Texas;Rusk;5
Texas;Sabine;10
Texas;San Augustine;1
Texas;San Jacinto;1
Texas;Shelby;2
Texas;Smith;3
Texas;Tarrant;1
Texas;Taylor;1
Texas;Throckmorton;1
Texas;Titus;1
Texas;Travis;3
Texas;Trinity;1
Texas;Tyler;6
Texas;Upshur;3
Texas;Val Verde;1
Texas;Walker;6
Texas;Waller;8
Texas;Washington;5
Texas;Wharton;5
Texas;Williamson;2
Texas;Wood;2
Texas;Zavala;1
Virginia;Accomack;1
Virginia;Accomack;1
Virginia;Accomack;1
Virginia;Accomack;1
Virginia;AlexandriaCity;2
Virginia;Alleghany;3
Virginia;Amelia;1
Virginia;Amherst;2
Virginia;Bath;1
Virginia;Bland;1
Virginia;Brunswick;2
Virginia;Campbell;1
Virginia;CharlesCity;1
Virginia;Charlotte;2
Virginia;Charlottesville City;1
Virginia;Culpeper;2
Virginia;DanvilleCity;5
Virginia;Dinwiddie;1
Virginia;Essex;1
Virginia;Fauquier;2
Virginia;Fluvanna;1
Virginia;Franklin;1
Virginia;Frederick;1
Virginia;Halifax;3
Virginia;Henry;1
Virginia;King and Queen;1
Virginia;King William;1
Virginia;Loudoun;3
Virginia;Louisa;1
Virginia;Mecklenburg;2
Virginia;Nelson;2
Virginia;Newport News City;3
Virginia;Norfolk City;1
Virginia;Northumberland;1
Virginia;Nottoway;2
Virginia;Page;2
Virginia;Pittsylvania;1
Virginia;Prince Edward;1
Virginia;Prince George;1
Virginia;Rappahannock;1
Virginia;Roanoke;2
Virginia;Rockingham;1
Virginia;Russell;3
Virginia;Scott;1
Virginia;Smyth;1
Virginia;Surry;1
Virginia;Sussex;2
Virginia;Tazewell;7
Virginia;Virginia Beach City;1
Virginia;Wise;3
Virginia;Wythe;3
West Virginia;Berkeley;1
West Virginia;Braxton;1
West Virginia;Cabell;1
West Virginia;Fayette;3
West Virginia;Greenbrier;3
West Virginia;Lewis;1
West Virginia;Logan;2
West Virginia;McDowell;4
West Virginia;Mercer;10
West Virginia;Mingo;1
West Virginia;Putnam;1
West Virginia;Randolph;4
West Virginia;Summers;1
West Virginia;Wetzel;3
Louisiana;Acadia;1